Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,69.417,69.7,69.958,70.189,70.393,70.578,70.752,70.927,71.111,71.309,71.521,71.747,71.98,72.215,72.448,72.679,72.907,73.132,73.355,73.575,73.792,74.005,74.216,74.423,74.627,74.826,75.019,75.206,75.387
Belize,70.168,70.481,70.774,71.047,71.301,71.537,71.755,71.955,72.141,72.312,72.471,72.619,72.755,72.881,73,73.108,73.202,73.282,73.354,73.427,73.514,73.634,73.796,74.003,74.253,74.535,74.83,75.119,75.388
Bolivia,51.979,52.756,53.524,54.278,55.011,55.716,56.392,57.04,57.661,58.254,58.815,59.341,59.833,60.293,60.726,61.134,61.525,61.902,62.271,62.636,62.999,63.36,63.716,64.066,64.41,64.746,65.073,65.391,65.701
Brazil,62.46,62.846,63.229,63.61,63.99,64.37,64.751,65.133,65.517,65.904,66.295,66.693,67.097,67.505,67.914,68.319,68.715,69.098,69.464,69.812,70.14,70.445,70.734,71.01,71.279,71.551,71.837,72.141,72.464
Canada,75.14,75.55,75.76,76.13,76.43,76.41,76.56,76.86,76.93,77.2,77.51,77.69,77.95,77.83,78.01,78.13,78.4,78.61,78.83,79.05,79.41,79.65,79.77,79.95,80.25,80.36,80.78,80.592,80.743
Chile,69.07,69.742,70.357,70.91,71.401,71.833,72.218,72.571,72.909,73.238,73.56,73.871,74.56,74.64,75.12,75.04,75.36,75.93,76.05,76.25,77.01,76.86,77.42,77.48,77.53,77.93,78.337,78.452,78.561
Colombia,65.482,66.03,66.526,66.953,67.306,67.582,67.785,67.936,68.061,68.174,68.298,68.451,68.641,68.869,69.139,69.444,69.773,70.108,70.436,70.748,71.042,71.317,71.58,71.836,72.086,72.331,72.572,72.809,73.041
Costa Rica,72.487,73.009,73.48,73.896,74.257,74.565,74.83,75.065,75.284,75.495,75.706,75.921,76.137,76.353,76.57,76.787,77.002,77.212,77.415,77.608,77.791,77.962,78.123,78.275,78.418,78.555,78.687,78.814,78.94
Dominican Rep.,62.939,63.32,63.718,64.141,64.59,65.067,65.571,66.092,66.616,67.134,67.631,68.094,68.515,68.894,69.229,69.527,69.8,70.06,70.319,70.582,70.846,71.107,71.357,71.592,71.813,72.025,72.236,72.452,72.678
Ecuador,62.926,63.554,64.189,64.825,65.455,66.072,66.671,67.25,67.808,68.344,68.86,69.359,69.846,70.323,70.792,71.254,71.709,72.156,72.588,73.001,73.386,73.732,74.034,74.293,74.51,74.694,74.854,75.002,75.15
El Salvador,56.571,56.706,57.078,57.708,58.589,59.694,60.967,62.316,63.648,64.9,66.01,66.936,67.686,68.276,68.714,69.021,69.229,69.384,69.526,69.678,69.856,70.06,70.273,70.484,70.694,70.904,71.115,71.328,71.543
Guatemala,57.277,57.702,58.145,58.607,59.09,59.592,60.108,60.631,61.157,61.682,62.207,62.736,63.271,63.815,64.365,64.925,65.496,66.075,66.654,67.223,67.766,68.266,68.714,69.106,69.442,69.73,69.982,70.216,70.447
Haiti,50.906,51.326,51.743,52.156,52.563,52.969,53.381,53.803,54.236,54.678,55.124,55.57,56.006,56.425,56.82,57.18,57.494,57.763,57.995,58.201,58.4,58.617,58.87,59.169,59.516,59.902,60.31,60.718,61.106
Honduras,59.413,60.197,60.994,61.797,62.594,63.364,64.086,64.745,65.337,65.864,66.339,66.786,67.228,67.68,68.144,68.61,69.057,69.466,69.822,70.124,70.379,70.596,70.797,70.997,71.208,71.437,71.689,71.962,72.247
Jamaica,70.54,70.739,70.9,71.016,71.082,71.098,71.065,70.996,70.905,70.8,70.693,70.589,70.493,70.411,70.348,70.31,70.296,70.305,70.336,70.393,70.483,70.611,70.78,70.988,71.228,71.495,71.781,72.073,72.362
Mexico,66.574,67.045,67.499,67.941,68.373,68.798,69.215,69.626,70.032,70.434,70.834,71.234,71.634,72.032,72.423,72.802,73.161,73.495,73.802,74.083,74.343,74.589,74.829,75.071,75.316,75.565,75.816,76.064,76.303
Nicaragua,58.469,58.843,59.24,59.672,60.148,60.683,61.286,61.951,62.664,63.411,64.166,64.901,65.596,66.234,66.812,67.332,67.811,68.272,68.733,69.202,69.68,70.167,70.651,71.123,71.579,72.012,72.419,72.8,73.153
Panama,69.892,70.233,70.537,70.81,71.057,71.283,71.493,71.693,71.888,72.083,72.279,72.476,72.67,72.862,73.05,73.237,73.425,73.615,73.807,74.001,74.194,74.385,74.572,74.752,74.927,75.097,75.266,75.434,75.605
Paraguay,66.751,66.857,66.959,67.059,67.158,67.263,67.376,67.504,67.646,67.803,67.973,68.151,68.33,68.51,68.689,68.874,69.071,69.286,69.521,69.773,70.036,70.301,70.56,70.804,71.033,71.247,71.45,71.651,71.854
Peru,60.02,60.622,61.224,61.818,62.403,62.974,63.526,64.058,64.572,65.069,65.554,66.034,66.514,66.999,67.491,67.99,68.496,69.004,69.508,70.001,70.478,70.933,71.362,71.763,72.133,72.471,72.778,73.058,73.315
United States,73.93,74.36,74.65,74.71,74.81,74.79,74.87,75.01,75.02,75.1,75.4,75.5,75.8,75.5,75.7,75.8,76.1,76.5,76.7,76.7,76.8,76.9,76.9,77.1,77.5,77.4,77.7,77.9,77.8
Uruguay,70.219,70.499,70.777,71.046,71.302,71.54,71.759,71.961,72.153,72.337,72.519,72.704,72.899,73.104,73.322,73.551,73.789,74.029,74.268,74.503,74.734,74.96,75.184,75.406,75.625,75.841,76.051,76.255,76.453
Venezuela,68.173,68.486,68.792,69.1,69.411,69.723,70.028,70.318,70.586,70.828,71.043,71.232,71.4,71.552,71.692,71.823,71.944,72.059,72.171,72.283,72.403,72.534,72.68,72.841,73.017,73.207,73.406,73.611,73.815
