Country,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008
Argentina,38.11,36.58,35.14,33.75,32.42,31.1,29.86,28.61,27.46,26.38,25.47,24.64,23.96,23.18,22.5,21.81,21.12,20.44,19.84,19.24,18.64,18.03,17.52,17,16.49,15.97,15.45,15,14.56
Belize,52.13,50.53,48.93,47.47,45.98,44.47,43.03,41.66,39.54,37.14,34.77,32.45,30.36,28.41,27.81,27.29,26.76,25.83,24.89,23.88,23.02,22.09,21.31,20.45,19.67,18.97,18.26,17.53,16.87
Bolivia,111.89,109.31,106.82,104.47,102.41,100.45,98.58,96.07,93.42,90.84,88.17,85.61,83.48,82.36,81.24,80.04,78.9,76.99,73.58,70.25,67.04,64.01,61.09,58.23,55.56,53.03,50.48,48.07,45.73
Brazil,72,69.6,67.3,65.1,63,60.3,57.1,54.1,51.3,48.6,46,43.6,41.3,39.2,37.6,36.1,34.7,33.2,31.4,29.8,28.2,26.7,25.3,24,22.7,21.5,20.4,19.3,18.3
Canada,10.3,9.6,9.2,8.8,8.4,8,7.6,7.4,7.2,7,6.8,6.7,6.4,6.2,5.9,5.7,5.5,5.4,5.4,5.3,5.2,5.1,5.2,5.3,5.4,5.4,5.5,5.6,5.7
Chile,31.5,28.4,25.7,24.6,23.6,22.6,21.7,20.8,19.9,19.1,18.3,17.6,16.4,15.3,14.3,13.3,12.4,11.6,10.8,10.1,9.4,8.8,8.5,8.3,8,7.8,7.6,7.4,7.2
Colombia,37.17,36.54,36.2,35.24,33.6,32.03,30.57,29.21,28.31,27.96,27.54,27.19,26.77,26.42,25.58,24.81,24.05,23.35,22.65,21.95,21.32,20.6,20,19.32,18.72,18.12,17.59,16.99,16.46
Costa Rica,28.49,25.52,24.04,23.34,22.71,22.09,21.47,20.84,20.22,19.67,19.13,18.58,18.1,17.11,16.13,15.22,14.4,13.66,12.92,12.18,11.77,11.53,11.28,11.11,10.85,10.68,10.42,10.25,9.55
Dominican Rep.,69.04,66.75,64.51,62.4,60.3,58.32,56.4,54.61,52.83,50.79,48.17,45.57,43.1,40.7,38.51,36.45,35.29,34.54,33.8,33.05,32.3,31.63,30.95,30.28,29.68,29.01,28.41,27.81,27.21
Ecuador,69.4,66.8,63.7,60.4,57.2,54.2,51.3,48.6,46,43.6,41.3,39.1,37,35.8,34.5,33.3,32.2,31.1,30,29,28,27,26.1,25.2,24.3,23.5,22.6,21.9,21.1
El Salvador,85.78,79.31,73.32,67.83,63.17,60.17,57.29,54.61,52.32,50.21,48.17,46.25,44.33,42.41,40.63,38.99,36.93,34.39,32.08,29.91,27.81,25.91,24.12,22.48,20.92,19.52,18.18,16.87,15.63
